age,prob,mrl
0-1,0.007611 ,74.7 
1-2,0.000522 ,74.3 
2-3,0.000371 ,73.3 
3-4,0.000288 ,72.4 
4-5,0.000215 ,71.4 
5-6,0.000196 ,70.4 
6-7,0.000179 ,69.4 
7-8,0.000165 ,68.4 
8-9,0.000147 ,67.4 
9-10,0.000126 ,66.5 
10-11,0.000113 ,65.5 
11-12,0.000125 ,64.5 
12-13,0.000180 ,63.5 
13-14,0.000291 ,62.5 
14-15,0.000445 ,61.5 
15-16,0.000618 ,60.5 
16-17,0.000787 ,59.6 
17-18,0.000946 ,58.6 
18-19,0.001079 ,57.7 
19-20,0.001186 ,56.7 
20-21,0.001293 ,55.8 
21-22,0.001392 ,54.9 
22-23,0.001449 ,54.0 
23-24,0.001456 ,53.0 
24-25,0.001424 ,52.1 
25-26,0.001376 ,51.2 
26-27,0.001334 ,50.3 
27-28,0.001308 ,49.3 
28-29,0.001311 ,48.4 
29-30,0.001339 ,47.4 
30-31,0.001377 ,46.5 
31-32,0.001417 ,45.6 
32-33,0.001471 ,44.6 
33-34,0.001541 ,43.7 
34-35,0.001628 ,42.8 
35-36,0.001729 ,41.8 
36-37,0.001848 ,40.9 
37-38,0.001995 ,40.0 
38-39,0.002171 ,39.1 
39-40,0.002365 ,38.1 
40-41,0.002566 ,37.2 
41-42,0.002775 ,36.3 
42-43,0.003006 ,35.4 
43-44,0.003270 ,34.5 
44-45,0.003566 ,33.6 
45-46,0.003889 ,32.8 
46-47,0.004225 ,31.9 
47-48,0.004575 ,31.0 
48-49,0.004932 ,30.2 
49-50,0.005303 ,29.3 
50-51,0.005708 ,28.5 
51-52,0.006148 ,27.6 
52-53,0.006606 ,26.8 
53-54,0.007074 ,26.0 
54-55,0.007561 ,25.1 
55-56,0.008082 ,24.3 
56-57,0.008662 ,23.5 
57-58,0.009332 ,22.7 
58-59,0.010128 ,21.9 
59-60,0.011061 ,21.2 
60-61,0.012157 ,20.4 
61-62,0.013379 ,19.6 
62-63,0.014658 ,18.9 
63-64,0.015922 ,18.2 
64-65,0.017186 ,17.5 
65-66,0.018538 ,16.8 
66-67,0.020089 ,16.1 
67-68,0.021847 ,15.4 
68-69,0.023845 ,14.7 
69-70,0.026053 ,14.1 
70-71,0.028315 ,13.4 
71-72,0.030693 ,12.8 
72-73,0.033440 ,12.2 
73-74,0.036693 ,11.6 
74-75,0.040399 ,11.0 
75-76,0.044294 ,10.5 
76-77,0.048274 ,9.9 
77-78,0.052603 ,9.4 
78-79,0.057451 ,8.9 
79-80,0.062909 ,8.4 
80-81,0.069071 ,7.9 
81-82,0.075759 ,7.5 
82-83,0.082842 ,7.0 
83-84,0.090223 ,6.6 
84-85,0.098137 ,6.3 
85-86,0.106994 ,5.9 
86-87,0.116538 ,5.5 
87-88,0.126802 ,5.2 
88-89,0.137815 ,4.9 
89-90,0.149607 ,4.6 
90-91,0.162199 ,4.3 
91-92,0.175613 ,4.0 
92-93,0.189860 ,3.8 
93-94,0.204947 ,3.5 
94-95,0.220874 ,3.3 
95-96,0.237632 ,3.1 
96-97,0.255201 ,2.9 
97-98,0.273553 ,2.7 
98-99,0.292650 ,2.5 
99-100,0.312443 ,2.4 
