age,prob,mrl
0-1,0.006083 ,80.0 
1-2,0.000414 ,79.5 
2-3,0.000301 ,78.5 
3-4,0.000218 ,77.6 
4-5,0.000172 ,76.6 
5-6,0.000158 ,75.6 
6-7,0.000141 ,74.6 
7-8,0.000128 ,73.6 
8-9,0.000117 ,72.6 
9-10,0.000108 ,71.6 
10-11,0.000105 ,70.6 
11-12,0.000110 ,69.6 
12-13,0.000132 ,68.7 
13-14,0.000173 ,67.7 
14-15,0.000228 ,66.7 
15-16,0.000293 ,65.7 
16-17,0.000356 ,64.7 
17-18,0.000408 ,63.7 
18-19,0.000440 ,62.8 
19-20,0.000457 ,61.8 
20-21,0.000472 ,60.8 
21-22,0.000489 ,59.8 
22-23,0.000502 ,58.9 
23-24,0.000510 ,57.9 
24-25,0.000516 ,56.9 
25-26,0.000522 ,56.0 
26-27,0.000533 ,55.0 
27-28,0.000548 ,54.0 
28-29,0.000570 ,53.0 
29-30,0.000597 ,52.1 
30-31,0.000629 ,51.1 
31-32,0.000667 ,50.1 
32-33,0.000716 ,49.2 
33-34,0.000778 ,48.2 
34-35,0.000854 ,47.2 
35-36,0.000938 ,46.3 
36-37,0.001031 ,45.3 
37-38,0.001137 ,44.4 
38-39,0.001256 ,43.4 
39-40,0.001383 ,42.5 
40-41,0.001512 ,41.5 
41-42,0.001644 ,40.6 
42-43,0.001780 ,39.7 
43-44,0.001926 ,38.7 
44-45,0.002084 ,37.8 
45-46,0.002257 ,36.9 
46-47,0.002439 ,36.0 
47-48,0.002629 ,35.1 
48-49,0.002824 ,34.1 
49-50,0.003030 ,33.2 
50-51,0.003254 ,32.3 
51-52,0.003504 ,31.4 
52-53,0.003786 ,30.6 
53-54,0.004102 ,29.7 
54-55,0.004456 ,28.8 
55-56,0.004847 ,27.9 
56-57,0.005278 ,27.0 
57-58,0.005762 ,26.2 
58-59,0.006311 ,25.3 
59-60,0.006935 ,24.5 
60-61,0.007669 ,23.7 
61-62,0.008492 ,22.8 
62-63,0.009338 ,22.0 
63-64,0.010156 ,21.2 
64-65,0.010972 ,20.4 
65-66,0.011861 ,19.7 
66-67,0.012902 ,18.9 
67-68,0.014086 ,18.1 
68-69,0.015429 ,17.4 
69-70,0.016916 ,16.7 
70-71,0.018468 ,15.9 
71-72,0.020140 ,15.2 
72-73,0.022067 ,14.5 
73-74,0.024315 ,13.8 
74-75,0.026843 ,13.2 
75-76,0.029448 ,12.5 
76-77,0.032155 ,11.9 
77-78,0.035257 ,11.3 
78-79,0.038947 ,10.7 
79-80,0.043250 ,10.1 
80-81,0.047952 ,9.5 
81-82,0.052970 ,9.0 
82-83,0.058629 ,8.4 
83-84,0.065153 ,7.9 
84-85,0.072705 ,7.4 
85-86,0.080141 ,7.0 
86-87,0.088261 ,6.6 
87-88,0.097113 ,6.1 
88-89,0.106742 ,5.7 
89-90,0.117194 ,5.4 
90-91,0.128514 ,5.0 
91-92,0.140742 ,4.7 
92-93,0.153916 ,4.4 
93-94,0.168066 ,4.1 
94-95,0.183218 ,3.8 
95-96,0.199387 ,3.5 
96-97,0.216580 ,3.3 
97-98,0.234792 ,3.1 
98-99,0.254004 ,2.9 
99-100,0.274185 ,2.7 
